pl_id,pl_name,st_mass,pl_orbper,st_teff,st_dist,pl_bmassj,pl_eqt,st_dist_km,years_by_car,years_by_plane,years_by_rocket,pl_mass_e
564,V1298 Tau c,1.1,8.24958,,108.5,,695.0,3350274040612799.5,2631380804.7540054,526276160.950801,13052484.150565505,
670,K2-152 b,0.63,32.6479,4044.0,108.7,,64.0,3356449660964160.5,2636231276.2835064,527246255.25670135,13076544.02918406,
58,Kepler-21 b,1.41,2.78578,6305.0,108.86,0.01598,1752.0,3361390157245248.0,2640111653.5071063,528022330.7014213,13095791.932078902,5.078444
683,HD 106315 b,1.09,9.55237,6327.0,109.0,0.039639999999999995,880.0,3365713091491199.5,2643506983.5777564,528701396.7155513,13112633.847111886,12.597591999999999
684,HD 106315 c,1.09,21.05704,6327.0,109.0,0.04782,613.0,3365713091491199.5,2643506983.5777564,528701396.7155513,13112633.847111886,15.197196000000002
678,K2-212 b,0.67,9.79551,4272.0,109.32,,269.0,3375594084053375.0,2651267738.0249567,530253547.6049914,13151129.652901571,
440,K2-242 b,0.38,6.51389,3459.0,109.6,,143.0,3384239952545279.5,2658058398.166258,531611679.63325155,13184813.48296755,
307,K2-36 c,0.79,5.340888,4916.0,110.09,0.02454,515.0,3399370222406111.5,2669942053.4135337,533988410.6827068,13243760.185583007,7.798812
306,K2-36 b,0.79,1.422614,4916.0,110.09,0.01227,951.0,3399370222406111.5,2669942053.4135337,533988410.6827068,13243760.185583007,3.899406
554,K2-198 c,0.8,3.3596055000000002,5212.9,110.91,,957.0,3424690265846688.0,2689828986.6844864,537965797.3368973,13342405.68791908,
655,K2-198 b,0.8,17.042868300000002,5212.9,110.91,,443.0,3424690265846688.0,2689828986.6844864,537965797.3368973,13342405.68791908,
555,K2-198 d,0.8,7.450017699999999,5212.9,110.91,,670.0,3424690265846688.0,2689828986.6844864,537965797.3368973,13342405.68791908,
769,HIP 65426 b,1.96,,8840.0,111.4,9.0,1227.0,3439820535707519.5,2701712641.931762,540342528.3863524,13401352.390534535,2860.2000000000003
533,TOI-125 c,0.86,9.15059,5320.0,111.4,0.02086,555.0,3439820535707519.5,2701712641.931762,540342528.3863524,13401352.390534535,6.629308
607,TOI-125 d,0.86,19.98,5320.0,111.4,0.042789999999999995,365.0,3439820535707519.5,2701712641.931762,540342528.3863524,13401352.390534535,13.598662
532,TOI-125 b,0.86,4.65382,5320.0,111.4,0.029889999999999996,764.0,3439820535707519.5,2701712641.931762,540342528.3863524,13401352.390534535,9.499042
617,WASP-166 b,1.19,5.4435400000000005,6050.0,113.0,0.10099999999999999,997.0,3489225498518399.5,2740516414.167766,548103282.8335532,13593831.419482965,32.0978
514,PDS 70 b,0.76,43500.0,3972.0,113.43,8.0,927.0,3502503082273824.0,2750944927.956192,550188985.5912385,13645560.15851286,2542.4
740,K2-277 b,1.02,6.326763,5741.0,113.53,,685.0,3505590892449504.0,2753370163.7209425,550674032.7441884,13657590.097822135,
534,HD 119130 b,1.0,16.9841,5725.0,114.29,0.07708999999999999,522.0,3529058249784672.5,2771801955.533045,554360391.1066089,13749017.636572642,24.499201999999997
680,K2-216 b,0.7,2.1748,4503.0,115.84,0.025169999999999998,830.0,3576919307507712.0,2809393109.8866725,561878621.9773346,13935481.695866432,7.999026
755,K2-110 b,0.75,13.86387,4950.0,116.84,,302.0,3607797409264511.5,2833645467.534175,566729093.506835,14055781.0889592,
701,WASP-132 b,0.8,7.133521000000001,4775.0,120.0,0.41,490.0,3705372210816000.0,2910282917.7002826,582056583.5400566,14435927.171132356,130.298
172,WASP-76 b,1.46,1.809886,6250.0,120.0,0.92,1887.0,3705372210816000.0,2910282917.7002826,582056583.5400566,14435927.171132356,292.37600000000003
756,Kepler-1650 b,0.33,1.53818001,3410.0,120.5,,309.0,3720811261694399.0,2922409096.5240335,584481819.3048066,14496076.867678735,
320,WASP-33 b,1.5,1.21987,7430.0,122.36,2.093,2509.0,3778244530962048.0,2967518481.748388,593503696.3496777,14719833.738831291,665.1554
314,WASP-18 b,1.22,0.94124,6400.0,123.92,10.42954,1796.0,3826414369702655.0,3005352159.678491,601070431.9356982,14907500.79205601,3314.507812
738,K2-275 c,0.79,8.438756,4812.0,124.09,,387.0,3831663647001312.0,3009475060.478567,601895012.0957135,14927951.688881785,
737,K2-275 b,0.79,3.280961,4812.0,124.09,,632.0,3831663647001312.0,3009475060.478567,601895012.0957135,14927951.688881785,
106,Kepler-78 b,0.84,0.35500744,5089.0,124.82,0.01,2057.0,3854204661283774.5,3027179281.5612426,605435856.3122486,15015770.245839499,3.1780000000000004
349,WASP-84 b,0.84,8.5234865,5314.0,125.0,0.6940000000000001,524.0,3859762719600000.5,3031544705.937795,606308941.187559,15037424.136596205,220.55320000000003
339,WASP-59 b,0.72,7.9195850000000005,4650.0,125.0,0.863,397.0,3859762719600000.5,3031544705.937795,606308941.187559,15037424.136596205,274.2614
278,Oph 11 b,0.02,7300000.0,2375.0,125.0,14.0,1902.0,3859762719600000.5,3031544705.937795,606308941.187559,15037424.136596205,4449.2
661,K2-162 b,0.75,9.45889,4842.0,125.1,,358.0,3862850529775679.5,3033969941.7025447,606793988.3405089,15049454.075905478,
594,KELT-23 b,0.94,2.255251,5899.0,125.42,0.938,1288.0,3872731522337855.5,3041730696.149745,608346139.229949,15087949.881695166,298.0964
191,K2-17 b,0.71,17.96753,4320.0,125.56,,214.0,3877054456583807.5,3045126026.2203956,609025205.2440791,15104791.796728153,
542,HATS-72 b,0.73,7.3279474,4656.1,127.66,0.1254,466.0,3941898470273087.5,3096055977.2801504,619211195.45603,15357420.52222297,39.852120000000006
672,K2-154 b,0.65,3.6762599999999996,4097.0,129.8,,442.0,4007977608032640.5,3147956022.6458063,629591204.5291612,15614861.2234415,
673,K2-154 c,0.65,7.954860000000001,4097.0,129.8,,279.0,4007977608032640.5,3147956022.6458063,629591204.5291612,15614861.2234415,
777,K2-232 b,1.19,11.168453999999999,6154.0,131.21,0.39799999999999996,757.0,4051515731509727.5,3182151846.9287834,636430369.3857567,15784483.367702302,126.4844
437,HD 89345 b,1.16,11.8143,5576.0,132.8,0.11,816.0,4100611913303040.0,3220713095.5883126,644142619.1176625,15975759.402719807,34.958
503,DMPP-2 b,1.44,5.2072,6500.0,134.0,0.4370000000000001,727.0,4137665635411199.5,3249815924.765315,649963184.9530631,16120118.674431128,138.87860000000003
623,K2-90 b,0.63,13.733314000000002,4484.0,134.9,,229.0,4165455926992320.0,3271643046.648068,654328609.3296136,16228388.128214622,
289,ROXs 42 B b,1.0,,,135.0,9.0,1702.0,4168543737168000.0,3274068282.412818,654813656.4825636,16240418.0675239,2860.2000000000003
357,KELT-7 b,1.76,2.73477,6768.0,137.21,1.39,1775.0,4236784342050527.5,3327665992.813798,665533198.5627595,16506279.72625892,441.74199999999996
497,USco1621 b,0.36,,3460.0,138.0,16.0,1997.0,4261178042438399.0,3346825355.3553247,669365071.0710648,16601316.246802207,5084.8
352,WASP-95 b,1.46,2.18467,5830.0,138.09,1.44,1297.0,4263957071596511.5,3349008067.5436,669801613.50872,16612143.192180557,457.632
294,K2-53 b,0.85,12.20772,5263.0,139.1,,392.0,4295143954370879.0,3373502948.7675767,674700589.7535154,16733645.579204252,
771,KELT-20 b,1.76,3.4741085,8720.0,139.7,3.3819999999999997,1989.0,4313670815424959.5,3388054363.3560786,677610872.6712158,16805825.215059917,1074.7995999999998
372,WASP-156 b,0.84,3.8361690000000004,4910.0,140.0,0.128,697.0,4322934245951999.5,3395330070.650329,679066014.1300659,16841915.032987747,40.6784
336,WASP-52 b,0.87,1.7497798,5000.0,140.0,0.46,1042.0,4322934245951999.5,3395330070.650329,679066014.1300659,16841915.032987747,146.18800000000002
122,FU Tau b,0.05,,2838.0,140.0,16.0,2102.0,4322934245951999.5,3395330070.650329,679066014.1300659,16841915.032987747,5084.8
763,K2-124 b,0.39,6.413651,3570.0,140.4,,169.0,4335285486654719.5,3405031013.7093306,681006202.7418661,16890034.790224854,
498,USco1556 b,0.33,,3410.0,141.0,15.0,1967.0,4353812347708800.5,3419582428.297833,683916485.6595665,16962214.42608052,4767.0
299,WASP-10 b,0.75,3.0927616,4675.0,141.57,3.15,1097.0,4371412865710175.5,3433406272.1569085,686681254.4313816,17030785.080143396,1001.07
